,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
162,Fake,Lauv,2185604,https://open.spotify.com/track/4Gt2kh3QbAGU6yquOWn4aW
163,"Star Shopping","Lil Peep",2153953,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
164,"Get You The Moon (feat. Snøw)",Kina,2152309,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
165,Rojo,"J Balvin",2142204,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
166,"Play Date","Melanie Martinez",2133530,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
167,Photograph,"Ed Sheeran",2131369,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
168,Enchule,"Rauw Alejandro",2129975,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
169,Madrid,Maluma,2129350,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
170,"THE SCOTTS","THE SCOTTS",2126866,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
171,"Love To Hate Me",BLACKPINK,2111279,https://open.spotify.com/track/7iKDsPfLT0d5mu2htfMKBZ
172,Happier,Marshmello,2102353,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
173,"Take Me To Church",Hozier,2085677,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
174,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha",2085425,https://open.spotify.com/track/2fTdRdN73RgIgcUZN33dvt
175,"The Less I Know The Better","Tame Impala",2076601,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
176,"Crazy Over You",BLACKPINK,2060972,https://open.spotify.com/track/7qq0EOPW4RRlqdvMBmdd73
177,"Let Her Go",Passenger,2060618,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
178,"Thinking out Loud","Ed Sheeran",2050502,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
179,July,"Noah Cyrus",2049091,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
180,"It's You","Ali Gatie",2046951,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
181,"Lose Control",MEDUZA,2045441,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
182,"Bande organisée","13 Organisé",2042357,https://open.spotify.com/track/6YzQOngfcV0W9F8UOTnEEK
183,"Hasta Que Dios Diga","Anuel AA",2033200,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
184,"Boy With Luv (feat. Halsey)",BTS,2028815,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
185,"Something Just Like This","The Chainsmokers",2024870,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
186,"In the End","Linkin Park",2020961,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
187,"SLOW DANCING IN THE DARK",Joji,2010484,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
188,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,2003301,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
189,Bruises,"Lewis Capaldi",2002789,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
190,"El Mismo Aire - con Pablo Alborán",Camilo,1995922,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
191,"I'm Yours","Jason Mraz",1990425,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
192,Promiscuous,"Nelly Furtado",1983980,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
193,"TKN (feat. Travis Scott)",ROSALÍA,1980630,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
194,"Hate The Way (feat. blackbear)",G-Eazy,1979427,https://open.spotify.com/track/3QGppKBPd9gHOgHJzRbVIw
195,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1956432,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
196,cardigan,"Taylor Swift",1944528,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
197,"Investe Em Mim","Jonas Esticado",1944404,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
198,"Lose You To Love Me","Selena Gomez",1936532,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
199,Safaera,"Bad Bunny",1934069,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
200,"CÓMO SE SIENTE - Remix","Jhay Cortez",1932060,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
